Date,EMA12,EMA26,EMA50,EMA200,EMA12_26_diff,EMA12_50_diff,EMA50_200_diff,Stoch_%K,Stoch_%D,Williams_%R,CCI,OBV,CMF,Supertrend_Direction,ADX,Donchian_High_20,Donchian_Low_20,SAR,ADL,lag1_Close,lag2_Close,lag3_Close,MA5,MA9,MA10,MA20,MA21,MA50,Zscore_Close_MA20,MA20_Slope,Price_to_MA5,Price_to_MA10,Price_to_MA20,MA9_MA21_Ratio,Returns_1d,Returns_2d,Returns_3d,Returns_5d,Returns_10d,Volatility_5d,Volatility_10d,Volatility_20d,prev_close,TR,ATR,ATR_14,ATR_ratio,ATR_20d_quantile,High_Vol_Flag,BB_middle,BB_std,BB_upper,BB_lower,BB_position,BB_Width,BB_squeeze,RSI,RSI_oversold,RSI_overbought,MACD,Signal_Line,MACD_histogram,MACD_bullish,MACD_Signal_crossover,MA9_21_crossover,Volume_MA_5,Volume_MA_20,Volume_ratio,Volume_trend,Higher_high,Lower_low,Gap_up,Gap_down,Momentum_5,Momentum_10,TSLA_to_Sector,Sector_Return,Sector_MA50,Sector_Momentum_5,Relative_Momentum_Sector,TSLA_to_SPY,SPY_Return,SPY_MA50,SPY_Momentum_5,Relative_Momentum_SPY,High_20d,Low_20d,Near_20d_high,Near_20d_low,Day_of_week,Month,Is_month_end,Is_friday,Is_monday,Bull_market,Price_to_MA_20,Trend_strength,Close_to_High,Close_to_Low,High_Low_ratio,Body_size,Upper_shadow,Lower_shadow,RSI_Momentum_5,RSI_Momentum_10,MACD_RSI_Interaction,MACD_Signal_Gap,Volatility_Returns,BBWidth_to_MA,Volatility_Shadow,MA9_21_Combo,MA9_Momentum,BB_Squeeze_MA20,Friday_Momentum,Monday_GapUp,Month_MA_ratio,Volume_Momentum,Volume_Volatility,Volume_Shadow,NearHigh_Momentum,NearLow_GapDown,ResistanceBreakout,Bull_RSI,HighVol_GapUp,Oversold_Body,ATR_vs_BodySize,Supertrend_EMA_Confirm,Supertrend_EMA_Agree,Supertrend_RSI_Bull,Supertrend_RSI_Bear,Supertrend_RSI_Confirm,Trend_Duration,Supertrend_Vol_Adj,Monday_Supertrend,Friday_Supertrend,Month_Supertrend,Supertrend_Breakout_High,Supertrend_Bounce_Low,Supertrend_Break_Score,Signal_Strength,RSI_Price_Divergence,Trend_Pattern_Strength,Close
2023-08-21 04:00:00,231.28,231.28,231.28,231.28,0.0,0.0,0.0,,,,,0.0,,1.0,,,,,115635545.88794972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,0,0,0,,,,,0,0,0,0,,,1.4057010879474867,,,,,0.5264260026403241,,,,,,,0,0,0,8,0,0,1,0,,,0.9963198028038079,1.0485084776498321,1.052381448907426,0.04391219727087918,0.003693791075752313,0.004199239017640876,,,,,,,,,,,,0,,,,,,0,,,0,0.0,,0.0,0,False,False,0,1.0,,1.0,0.0,0.0,False,False,,0.2,False,,231.28
2023-08-22 04:00:00,231.57384615384615,231.4214814814815,231.35490196078433,231.29900497512438,0.152364672364655,0.2189441930618159,0.055896985659956044,,,,,130597886.0,,1.0,,,,,69399027.24239707,231.28,,,,,,,,,,,,,,,0.00825838810100299,,,,,,,,231.28,11.269999999999982,,,,,0,,,,,,,,,0,0,,,,0,0,0,,,,,0,0,1,0,,,1.4152454937185166,0.0014587005409347764,,,,0.5322149948647723,-0.002708608367096077,,,,,,0,0,1,8,0,0,0,0,,,0.9683165850012457,1.0158571117403614,1.0490960575038117,0.02938605619146723,0.0024443586774732756,0.015609588747373329,,,,,,,,,,,,0,,,,,,0,,,0,0.0,,1.0,1,False,False,0,2.0,,0.0,0.0,0.0,False,False,,0.2,False,,233.19
2023-08-23 04:00:00,232.38710059171598,231.82433470507547,231.57078815840063,231.354338258954,0.5627658866405056,0.8163124333153462,0.21644989944664417,,,,,231675521.0,,1.0,,,,220.58,126248677.474009,233.19,231.28,,,,,,,,,,,,,,0.01573823920408257,0.024126599792459347,,,,,,,233.19,9.689999999999998,,,,,0,,,,,,,,,0,0,,,,0,0,0,,,,,0,0,0,0,,,1.4260942862303572,0.00801116708138605,,,,0.534636480599508,0.011137738217505522,,,,,,0,0,2,8,0,0,0,0,,,0.9911289647669262,1.0330149592219462,1.0422608923197698,0.03278974448417202,0.008950434856032998,0.00021109516169894184,,,,,,,,,,,,0,,,,,,0,,,0,0.0,,1.0,1,False,False,0,3.0,,0.0,0.0,0.0,False,False,,0.2,False,,236.86
2023-08-24 04:00:00,232.02600819299045,231.69216176395878,231.51075725022807,231.3412602663276,0.3338464290316665,0.5152509427623784,0.16949698390047274,,,,,131898089.0,,1.0,,,,238.98,61029490.109445,236.86,233.19,231.28,,,,,,,,,,,,,-0.02879338005572918,-0.013508297954457738,-0.0053614666205465955,,,,,,236.86,10.739899999999977,,,,,0,,,,,,,,,0,0,,,,0,0,0,,,,,0,1,0,0,,,1.412675018422992,-0.01956770425672827,,,,0.5265398612923161,-0.013859106606776028,,,,,,0,0,3,8,0,0,0,0,,,0.9628327473631341,1.0081510175514867,1.0470676452503964,0.036118327327579004,0.001130238219440058,0.00808511563206391,,,,,,,,,,,,0,,,,,,0,,,0,0.0,,1.0,1,False,False,0,4.0,,0.0,0.0,0.0,False,False,,0.2,False,,230.04
2023-08-25 04:00:00,233.03585308637653,232.20311274440627,231.78837461296422,231.41338702984675,0.8327403419702648,1.2474784734123148,0.3749875831174734,,,,,238510320.0,,1.0,,,,228.1801,157535128.11179763,230.04,236.86,233.19,233.99200000000002,,,,,,,,0.019650244452801724,,,,0.03716744913928016,0.007303892594781702,0.0231570822076419,,,,,,230.04,8.960000000000008,,,,,0,,,,,,,,,0,0,,,,0,0,0,114753571.0,,,,0,0,0,0,,,1.448985788898336,0.011176615082289398,,,,0.5422869741118712,0.007049829476527325,,,,,,0,0,4,8,0,1,0,0,,,0.9982845188284519,1.0357716518341655,1.037551551986108,0.03147291513553241,0.0017184291043212062,0.004023638878410696,,,,,,,,,,,,0,,,,,,0,0.0,,0,0.0,,1.0,1,False,False,0,5.0,,0.0,1.0,0.0,False,False,,0.2,False,,238.59
2023-08-28 04:00:00,233.9257218423186,232.69325254111692,232.0641246281421,231.48708467134082,1.2324693012016894,1.8615972141764985,0.5770399568012863,,,,,346184047.0,,1.0,,,,239.0,132613966.49191853,238.59,230.04,236.86,235.5,,,,,,,,0.014097664543524457,,,,0.0009639968146191169,0.03816727525647723,0.008274930338596498,0.032601176063645765,,0.024005520685323148,,,238.59,9.030000000000001,,,,,0,,,,,,,,,0,0,,,,0,0,0,109147782.2,,,,1,0,0,0,0.032601176063645765,,1.4445923058311154,0.004008259443702089,,0.00480155594724363,0.027799620116402135,0.5393892853916343,0.006341341455099236,,0.007784403878545065,0.0248167721851007,,,0,0,0,8,0,0,1,0,,,0.9772485473442999,1.0147439983004036,1.0383683875079668,0.01550004122351397,0.007537057197889553,0.01452977137593166,,,,,0.00019864401141278632,,,,0.0004596004438696571,,0.0,0,,,,,,0,0.0,,0,0.0,,1.0,1,False,False,0,6.0,,1.0,0.0,0.0,False,False,,0.2,False,0.20652023521272916,238.82
2023-08-29 04:00:00,237.50330309734653,234.50708568621937,233.04906091723458,231.74273557013348,2.9962174111271622,4.454242180111947,1.306325347101108,,,,,480231650.0,,1.0,,,,235.35,262580972.74848884,238.82,238.59,230.04,240.298,,,,,,,,0.07025443407768694,,,,0.0768779834184743,0.07791609036422309,0.11797948182924722,0.1028774818817273,,0.03965598447459046,,,238.82,19.710000000000008,,,,,0,,,,,,,,,0,0,,,,0,0,0,109837725.6,,,,1,0,0,0,0.1028774818817273,,1.5177338447919742,0.024981853375272145,,0.0284032287430962,0.0744742531386311,0.5725799269747974,0.014454783629957557,,0.025128380691544105,0.07774910119018319,,,0,0,1,8,0,0,0,0,,,0.9988348609600746,1.0816335113765403,1.082895234890861,0.07796127085254419,0.0011664981724862405,0.003149545065712739,,,,,0.004678592499740855,,,,0.0072275992689382436,,0.0,0,,,,,,0,0.0,,0,0.0,,1.0,1,False,False,0,7.0,,0.0,0.0,0.0,False,False,,0.2,False,0.22057549637634546,257.18
2023-08-30 04:00:00,240.48741031313938,236.16582007983274,233.98439186165677,231.99305660923665,4.321590233306637,6.503018451482603,1.9913352524201287,,,,,358243213.0,,1.0,,,,257.48,295783470.72194403,257.18,238.82,238.59,244.30599999999998,,,,,,,,0.05155010519594283,,,,-0.0010887316276538828,0.07570555229880238,0.07674252902468659,0.08460694080891651,,0.04084570028802614,,,257.18,9.919999999999987,,,,,0,,,,,,,,,0,0,,,,0,0,0,114019886.0,,,,1,0,0,0,0.08460694080891651,,1.509578093783053,0.004308055473591033,,0.0246252032030827,0.05998173760583381,0.5696104299239484,0.004118799536913187,,0.018012324221835962,0.06659461658708055,,,0,0,2,8,0,0,0,0,,,0.9861425665041649,1.025180573845724,1.0395865756813918,0.010621557828481466,0.014052160373686314,0.014052160373686203,,,,,0.0031346023398874955,,,,0.004361496699006554,,0.0,0,,,,,,0,0.0,,0,0.0,,1.0,1,False,False,0,8.0,,0.0,0.0,0.0,False,False,,0.2,False,0.2169213881617833,256.9
2023-08-31 04:00:00,243.1939625726564,237.7890926665118,234.92931767100356,232.25262818526414,5.404869906144597,8.264644901652844,2.6766894857394163,,,,,467104911.0,,1.0,,,,250.59,294540351.821474,256.9,257.18,238.82,249.914,242.32666666666668,,,,,,,0.032675240282657114,,,,0.004593226936551176,0.003499494517458457,0.0806465120174189,0.12189184489653959,,0.03356242654162131,,,256.9,6.1299999999999955,,,,,0,,,,,,,,,0,0,,,,0,0,0,115836739.2,,,,1,0,0,0,0.12189184489653959,,1.5118036436061155,0.003114349512281178,,0.04832964873495449,0.0735621961615851,0.5730653935827689,-0.0014633821866476548,,0.030808670374693925,0.09108317452184567,,,0,0,3,8,1,0,0,0,,,0.9881307910253464,1.0118800235247989,1.0240345030386198,0.008203765919212416,0.012011779293242495,0.003603533787972638,,,,,0.0027066926354226022,,,,0.003982845320490804,,0.0,0,,,,,,0,0.0,,0,0.0,,1.0,1,False,False,0,9.0,,0.0,0.0,1.0,False,False,,0.2,False,0.22437836897930794,258.08
2023-09-01 04:00:00,243.47335294609388,238.32397469121463,235.32463854665048,232.37956720829635,5.149378254879252,8.148714399443406,2.9450713383541256,,,,,334563271.0,,1.0,,,,261.18,208587920.5815121,258.08,256.9,257.18,251.198,243.85222222222222,242.59499999999997,,,,,,-0.024633954091991206,0.00995486304334392,,,-0.050643211407315536,-0.046282600233553906,-0.047320942530523435,0.02690808499937125,,0.045578595498706534,,,258.08,17.06940000000003,,,,,0,,,,,,,,,0,0,,,,0,0,0,121022621.0,,,,0,0,0,0,0.02690808499937125,,1.444038427535805,-0.006092203151543685,,0.03042633304992104,-0.003518248050549788,0.5430306522750947,0.0018652159431553628,,0.025501738754915015,0.0014063462444562358,,,0,0,4,9,0,1,0,0,,,0.9456946403303388,1.0123961819759515,1.0705317962067684,0.047617196610433024,0.007425819354312192,0.012244398187829068,,,,,-0.002156822098216266,,,,-0.0006628525305779087,,0.02690808499937125,0,,,,,,0,-0.0,,0,0.0,,1.0,1,False,False,0,10.0,,0.0,1.0,0.0,False,False,,0.2,False,0.20538161699987426,245.01
